,perc,total,non,out,percentage,min,max
0,0.01,26765.0,26497.0,268.0,0.01001307677937605,20.33,80.12
1,0.02,26765.0,26227.0,538.0,0.020100878012329536,15.2,80.12
2,0.05,26765.0,25421.0,1344.0,0.05021483280403512,5.75,80.12
3,0.1,26765.0,24082.0,2683.0,0.10024285447412666,4.85,80.12
4,0.15,26765.0,22711.0,4054.0,0.15146646740145714,3.4,80.12
5,0.01,23335.0,23098.0,237.0,0.010156417398757231,7.8,78.97
6,0.02,23335.0,22853.0,482.0,0.020655667452324833,6.5,78.97
7,0.05,23335.0,22157.0,1178.0,0.050482108420827086,5.13,78.97
8,0.1,23335.0,20957.0,2378.0,0.10190700664238268,0.03,78.97
9,0.15,23335.0,19809.0,3526.0,0.1511034926076709,0.03,78.97
10,0.01,71203.0,70488.0,715.0,0.010041711725629537,8.63,74.5
11,0.02,71203.0,69776.0,1427.0,0.020041290395067624,8.35,74.5
12,0.05,71203.0,67625.0,3578.0,0.05025069168433914,5.17,74.5
13,0.1,71203.0,63997.0,7206.0,0.10120360097186916,3.9,74.5
14,0.15,71203.0,60497.0,10706.0,0.15035883319523055,0.03,74.5
15,0.01,15059.0,14908.0,151.0,0.010027226243442459,5.97,38.47
16,0.02,15059.0,14752.0,307.0,0.020386479845939304,5.0,38.47
17,0.05,15059.0,14277.0,782.0,0.05192907895610598,4.17,38.47
18,0.1,15059.0,13543.0,1516.0,0.10067069526528986,0.1,38.47
19,0.15,15059.0,12800.0,2259.0,0.15000996082077164,0.1,38.47
20,0.01,18531.0,18345.0,186.0,0.010037234903674924,6.28,60.05
21,0.02,18531.0,18158.0,373.0,0.020128433435864228,5.33,60.05
22,0.05,18531.0,17572.0,959.0,0.051751119745291674,4.0,60.05
23,0.1,18531.0,16658.0,1873.0,0.10107387620743619,3.25,60.05
24,0.15,18531.0,15751.0,2780.0,0.15001888726998003,2.85,60.05
25,0.01,19627.0,19430.0,197.0,0.010037193661792428,7.17,66.07
26,0.02,19627.0,19232.0,395.0,0.020125337545218322,5.92,66.07
27,0.05,19627.0,18632.0,995.0,0.050695470525296785,4.6,66.07
28,0.1,19627.0,17648.0,1979.0,0.10083048861262546,3.73,66.07
29,0.15,19627.0,16596.0,3031.0,0.15443012177102972,3.3,66.07
30,0.01,37624.0,37246.0,378.0,0.010046778651924304,7.7,74.47
31,0.02,37624.0,36870.0,754.0,0.02004039974484372,7.33,74.47
32,0.05,37624.0,35742.0,1882.0,0.05002126302360196,5.72,74.47
33,0.1,37624.0,33809.0,3815.0,0.10139804380182862,3.8,74.47
34,0.15,37624.0,31946.0,5678.0,0.15091431001488412,3.23,74.47
35,0.01,5939.0,5878.0,61.0,0.010271089408991413,6.08,32.3
36,0.02,5939.0,5820.0,119.0,0.020037043273278328,5.8,32.3
37,0.05,5939.0,5641.0,298.0,0.05017679744064658,5.58,32.3
38,0.1,5939.0,5343.0,596.0,0.10035359488129315,4.72,32.3
39,0.15,5939.0,5045.0,894.0,0.1505303923219397,4.4,32.3
40,0.01,5917.0,5855.0,62.0,0.010478282913638668,5.37,20.7
41,0.02,5917.0,5796.0,121.0,0.020449552137907723,4.67,20.7
42,0.05,5917.0,5618.0,299.0,0.050532364373838096,3.97,20.7
43,0.1,5917.0,5320.0,597.0,0.10089572418455298,3.5,20.7
44,0.15,5917.0,5009.0,908.0,0.15345614331586954,3.1,20.7
45,0.01,8204.0,8121.0,83.0,0.010117016089712336,5.43,15.83
46,0.02,8204.0,8031.0,173.0,0.021087274500243783,4.7,15.83
47,0.05,8204.0,7788.0,416.0,0.050706972208678695,3.9,15.83
48,0.1,8204.0,7352.0,852.0,0.10385177961969771,0.2,15.83
49,0.15,8204.0,6907.0,1297.0,0.15809361287176987,0.2,15.83
50,0.01,13775.0,13637.0,138.0,0.01001814882032668,5.47,77.6
51,0.02,13775.0,13499.0,276.0,0.02003629764065336,4.6,77.6
52,0.05,13775.0,13052.0,723.0,0.052486388384754994,3.6,77.6
53,0.1,13775.0,12392.0,1383.0,0.10039927404718693,3.12,77.6
54,0.15,13775.0,11650.0,2125.0,0.1542649727767695,0.1,77.6
